start_frame,end_frame,num_vehicles,scenario
5,55,3,Car Following
6,56,3,Car Following
7,57,3,Car Following
8,58,3,Car Following
9,59,3,Car Following
10,60,3,Car Following
11,61,3,Car Following
12,62,3,Car Following
13,63,3,Car Following
14,64,3,Car Following
15,65,3,Car Following
16,66,3,Car Following
17,67,3,Car Following
18,68,3,Car Following
19,69,4,Car Following
20,70,4,Car Following
21,71,4,Car Following
22,72,4,Car Following
23,73,4,Car Following
24,74,4,Car Following
25,75,4,Car Following
26,76,4,Car Following
27,77,4,Car Following
28,78,4,Car Following
29,79,4,Car Following
30,80,4,Car Following
31,81,4,Car Following
32,82,4,Car Following
33,83,4,Car Following
34,84,4,Car Following
35,85,4,Car Following
36,86,4,Car Following
37,87,4,Car Following
38,88,4,Car Following
39,89,4,Car Following
40,90,6,Car Following
41,91,6,Car Following
42,92,6,Car Following
43,93,6,Car Following
44,94,6,Car Following
45,95,7,Car Following
46,96,7,Car Following
47,97,7,Car Following
48,98,7,Car Following
49,99,7,Car Following
50,100,7,Car Following
51,101,7,Car Following
52,102,7,Car Following
53,103,7,Car Following
54,104,7,Car Following
55,105,7,Car Following
56,106,7,Car Following
57,107,7,Car Following
58,108,7,Car Following
59,109,7,Car Following
60,110,7,Car Following
61,111,8,Car Following
62,112,8,Car Following
63,113,8,Car Following
64,114,8,Car Following
65,115,8,Car Following
66,116,8,Car Following
67,117,8,Car Following
68,118,8,Car Following
69,119,8,Car Following
70,120,8,Car Following
71,121,8,Car Following
72,122,8,Car Following
73,123,8,Car Following
74,124,11,Car Following
75,125,11,Car Following
76,126,11,Car Following
77,127,11,Car Following
78,128,11,Car Following
79,129,11,Car Following
80,130,12,Car Following
81,131,12,Lane Change
82,132,12,Lane Change
83,133,12,Lane Change
84,134,12,Lane Change
85,135,12,Lane Change
86,136,12,Lane Change
87,137,13,Lane Change
88,138,13,Lane Change
89,139,13,Lane Change
90,140,13,Lane Change
91,141,13,Lane Change
92,142,15,Lane Change
93,143,15,Lane Change
94,144,16,Lane Change
95,145,16,Lane Change
96,146,17,Lane Change
97,147,17,Lane Change
98,148,17,Lane Change
99,149,17,Lane Change
100,150,17,Lane Change
101,151,17,Lane Change
102,152,17,Lane Change
103,153,17,Lane Change
104,154,17,Lane Change
105,155,17,Lane Change
106,156,17,Lane Change
107,157,18,Lane Change
108,158,18,Lane Change
109,159,18,Lane Change
110,160,18,Lane Change
111,161,18,Lane Change
112,162,19,Lane Change
113,163,19,Lane Change
114,164,19,Lane Change
115,165,19,Lane Change
116,166,19,Lane Change
117,167,19,Lane Change
118,168,19,Lane Change
119,169,19,Lane Change
120,170,19,Lane Change
121,171,20,Lane Change
122,172,20,Lane Change
123,173,20,Lane Change
124,174,20,Lane Change
125,175,20,Lane Change
126,176,20,Lane Change
127,177,21,Cut-In
128,178,23,Cut-In
129,179,23,Cut-In
130,180,23,Cut-In
131,181,23,Car Following
132,182,23,Car Following
133,183,23,Car Following
134,184,23,Car Following
135,185,23,Car Following
136,186,23,Car Following
137,187,23,Car Following
138,188,23,Car Following
139,189,23,Car Following
140,190,23,Car Following
141,191,23,Car Following
142,192,23,Car Following
143,193,23,Car Following
144,194,23,Car Following
145,195,23,Car Following
146,196,25,Car Following
147,197,26,Car Following
148,198,27,Car Following
149,199,28,Car Following
150,200,28,Car Following
151,201,28,Car Following
152,202,28,Car Following
153,203,28,Car Following
154,204,28,Car Following
155,205,28,Car Following
156,206,28,Car Following
157,207,28,Car Following
158,208,28,Car Following
159,209,29,Car Following
160,210,29,Car Following
161,211,29,Car Following
162,212,29,Car Following
163,213,29,Car Following
164,214,29,Car Following
165,215,29,Car Following
166,216,29,Car Following
167,217,30,Car Following
168,218,31,Car Following
169,219,31,Car Following
170,220,31,Car Following
171,221,31,Car Following
172,222,31,Car Following
173,223,31,Car Following
174,224,31,Car Following
175,225,31,Car Following
176,226,31,Car Following
177,227,31,Car Following
178,228,31,Car Following
179,229,32,Car Following
180,230,32,Car Following
181,231,32,Car Following
182,232,32,Car Following
183,233,32,Car Following
184,234,32,Car Following
185,235,33,Car Following
186,236,33,Car Following
187,237,33,Car Following
188,238,33,Car Following
189,239,33,Car Following
190,240,35,Car Following
191,241,35,Car Following
192,242,35,Car Following
193,243,36,Car Following
194,244,36,Car Following
195,245,36,Car Following
196,246,36,Car Following
197,247,36,Car Following
198,248,36,Car Following
199,249,36,Car Following
200,250,36,Car Following
201,251,37,Car Following
202,252,37,Car Following
203,253,37,Car Following
204,254,37,Car Following
205,255,37,Car Following
206,256,37,Car Following
207,257,37,Car Following
208,258,38,Car Following
209,259,38,Car Following
210,260,39,Car Following
211,261,39,Car Following
212,262,39,Car Following
213,263,39,Car Following
214,264,39,Car Following
215,265,39,Car Following
216,266,39,Car Following
217,267,39,Car Following
218,268,39,Car Following
